,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
960,7/16/1999,The Wood,6000000,25059640,25059640
961,8/16/1995,The Usual Suspects,6000000,23341568,34449356
962,8/11/1989,A Nightmare On Elm Street: The Dream Child,6000000,22168359,22168359
963,4/5/2002,National Lampoon's Van Wilder,6000000,21305259,39241323
964,12/31/1946,Duel in the Sun,6000000,20400000,20400000
965,9/27/2000,Best in Show,6000000,18621249,20695413
966,9/27/2006,The Last King of Scotland,6000000,17606684,49155371
967,4/16/2003,A Mighty Wind,6000000,17583468,18504539
968,2/12/1988,School Daze,6000000,14545844,14545844
969,8/8/2007,Daddy Day Camp,6000000,13235267,18209872
970,10/21/1988,Mystic Pizza,6000000,12793213,12793213
971,3/20/1998,Mr. Nice Guy,6000000,12716953,31716953
972,1/1/1956,War and Peace,6000000,12500000,12500000
973,4/24/1998,Sliding Doors,6000000,11911200,58809149
974,5/24/1995,Tales from the Hood,6000000,11784569,11784569
975,10/13/1989,Halloween 5: The Revenge of Michael Myers,6000000,11642254,11642254
976,9/7/2012,The Words,6000000,11494838,16369708
977,4/27/2012,Bernie,6000000,9204489,10106975
978,12/15/2000,Pollock,6000000,8596914,10557291
979,2/15/2008,Dolphins and Whales Tribes of the Ocean 3D,6000000,7714996,17252287
980,2/26/1999,200 Cigarettes,6000000,6852450,6852450
981,3/19/2010,City Island,6000000,6671283,8173486
982,3/16/2012,Casa de mi Padre,6000000,5909483,8446952
983,7/29/2011,The Guard,6000000,5359774,21197454
984,4/21/2000,The Virgin Suicides,6000000,4859475,10619770
985,8/29/2008,College,6000000,4694491,6176114
986,9/22/2006,La science des r̻ves,6000000,4670644,15137932
987,12/4/1998,Little Voice,6000000,4595000,21787233
988,3/13/2009,Miss March,6000000,4543320,4713059
989,2/5/1999,Simply Irresistible,6000000,4398989,4398989
990,7/18/2014,Wish I Was Here,6000000,3591299,6591365
991,12/21/2006,Venus,6000000,3347411,7818479
992,3/14/2014,Veronica Mars,6000000,3322127,3485383
993,8/27/1993,Only the Strong,6000000,3273588,3273588
994,7/20/2001,Hedwig and the Angry Inch,6000000,3067312,3740030
995,10/31/2003,Shattered Glass,6000000,2207975,3456602
996,7/3/2008,The Wackness,6000000,2077046,3330012
997,11/16/2001,Novocaine,6000000,2025238,2522928
998,2/6/2009,Polytechnique,6000000,1418304,1418304
999,7/15/2011,Snow Flower and the Secret Fan,6000000,1348205,11348205
